Niveau;Vocabulaire;Signification;Lecture
N2;お参り;culte, visite d'un temple;おまいり
N3;お前;tu, ton, toi (vulgaire);おまえ
N4;お待たせしました;désolé pour l'attente;"おまたせしまし
た"
N2;お待ちどうさま;désolé de vous avoir fait attendre;おまちどうさま
N5;お巡りさん;policier (désigné de manière amicale);おまわりさん
N4;お見舞い;"le faire de prendre des nouvelles de quelqu'un
malade";おみまい
N4;お土産;cadeau, souvenir;おみやげ
N4;お目出度うご座います;félicitations;"おめでとうござ
います"
N2;お目に掛かる;"rencontrer quelqu'un ayant un statut plus important
que le nôtre (polie)";おめにかかる
N2;主;principal, important;おも
N5;重い;lourd, massif;おもい
N2;思い掛けない;inattendu, imprévu, par hasard;おもいがけない
N2;思い切り;de toutes ses forces, à tout prix, coûte que coûte;"おもいきり・お
もいっきり"
N2;思い込む [五段];"être convaincu que, avoir l'impression que, imaginer
que";おもいこむ
N4;思い出す [五段];se rappeler, se souvenir;おもいだす
N2;思い付く [五段];venir à l'esprit;おもいつく
N2;思い付く [五段];venir à l'esprit, trouver;おもいつく
N3;思い出・想い出;souvenir;おもいで
N4;思う [五段];penser;おもう
N5;面白い;intéressant;おもしろい
N2;重たい;lourd, important, massif, rigoureux;おもたい
N4;玩具;jouet;"おもちゃ・がん
ぐ"
N4;表;face, partie visible (contraire de 裏);おもて
N3;主に;principalement, essentiellement;おもに
N3;思わず;involontairement, fortuitement, instinctivement;おもわず
N4;親;parents;おや
N2;-;tiens !, oh !, oh ?;おや
N5;お休みなさい;bonne nuit;おやすみなさい
N2;お八つ;en-cas, goûté, quatre-heure;おやつ
N2;親指;pouce;おやゆび
N4;お湯;eau chaude;おゆ
N3;泳ぎ;natation, nage;およぎ
N5;泳ぐ [五段];nager;およぐ
N3;凡そ;environ, à peu près, approximativement;およそ
N3;及ぼす [五段];"exercer (une influence, un effet sur quelque chose,
causer, occasionner (des dégâts)";およぼす
N5;降りる [一段];descendre (d'une montagne, un bus...);おりる
N4;下りる [一段];descendre (d'une montage, d'un bus...);おりる
N4;居る [五段];être (pour quelque chose d'animé), exister;おる
N4;折る [五段];plier, rompre, casser;おる
N2;-;organe;オルガン
N4;お礼;courtoisie, politesse;おれい
N4;折れる [一段];être plié, se rompre, se briser;おれる
N4;-;orange (fruit ou couleur);オレンジ
N3;下ろす・降ろす [五段];"faire descendre (un passager d'un véhicule),
descendre, abaisser, retirer de l'argent d'un compte";おろす
N2;卸す [五段];vendre en gros, râper (des légumes, des fruits…);おろす
N4;終わり;fin;おわり
N5;終わる [五段];finir;おわる
N3;恩;faveur, dette de gratitude, obligation morale;おん
N5;音楽;musique, mouvement (musique);おんがく
N2;恩恵;bienfait, faveur, bénédiction, grâce;おんけい
N2;温审;serre;おんしつ
N2;温泉;onsen (bain thermal japonais), source chaude;おんせん
N2;温帯;zone tempérée;おんたい
N3;温暖;chaleur;おんだん
N2;御中;Messieurs;おんちゅう
N3;温度;température;おんど
N5;女;femme;おんな
N5;女の子;fille;おんなのこ
N2;女の人;femme, personne de sexe féminin;おんなのひと
N4;家;suffixe pour indiquer une propriété, une relation ou une occupation d'une personne (ferme 農, fermier 農家);か
N3;課;compteur pour les chapîtres ou les leçons;か
N3;可;passable, acceptable;か
N2;蚊;moustique;か
N2;日;jour du mois;か
N2;下;en dessous de;か
N2;化;le fait que quelque chose se fasse, suffixe -isation, - ication (international 国際, internationalisation 国際 化);か
N2;科;département, section;か
N2;画;dessin, peinture, esquisse;が
N3;-;voiture;カー
N4;-;rideau;カーテン
N3;-;carte;カード
N2;-;courbe;カーブ
N5;回;compteur pour le nombre de fois;かい
N5;階;compteur pour les étages;かい
N4;会;rassemblement, club, association;かい
N2;貝;coquillage;かい
N3;害;blessure, coup, dommage;がい
N2;外;en dehors de;がい
N3;会員;membre d'une association;かいいん
N3;絵画;peinture;かいが
N2;開会;début d'une réunion;かいかい
N3;海外;étranger, extérieur;かいがい
N2;開会する;débuter une réunion;かいかいする
N2;会館;salle de réunion;かいかん
N4;海岸;rivage, côte (mer);かいがん
N4;会議;conférence, réunion, meeting;かいぎ
N3;会計;comptabilité;かいけい
N3;解決;solution;かいけつ
N3;外交;diplomatie;がいこう
N3;会吅;réunion, rassemblement;かいごう
N5;外国;pays étranger;がいこく
N5;外国人;étranger;がいこくじん
N2;改札;contrôle des billets;かいさつ
N2;解散;dissolution, séparation;かいさん
N3;開始;commencement, début;かいし
N5;会社;entreprise;かいしゃ
N3;解釈;interprétation;かいしゃく
N3;外出する;sortir;がいしゅつする
N4;会場;lieu de réunion;かいじょう
N2;海水浴;bain de mer;かいすいよく
N2;回数;fréquence, nombre de fois;かいすう
N2;回数券;carnet de tickets;かいすうけん
N2;改正;modification, révision (d'une loi, d'un contrat…);かいせい
N2;快晴;beau temps;かいせい
N2;解説;explication, commentaire;かいせつ
N3;改善;amélioration;かいぜん
N2;改造;remodelage, transformation, refonte;かいぞう
N5;階段;escaliers;かいだん
N2;開通;"ouverture, le fait de devenir opérationnel ou en état
de marche";かいつう
N3;快適;agréable, confortable;かいていき
N2;回転;rotation;かいてん
N2;回答・解答;réponse;かいとう
N2;外部;extérieur (l');がいぶ
N2;外部;externe, extérieur;がいぶ
N3;回復;"guérison, récupération (suite à une maladie),
rétablissement";かいふく
N2;解放;libération;かいほう
N2;開放する;ouvrir en grand, ouvrir;かいほうする
N5;買い物;achats, courses;かいもの
N2;海洋;océan;かいよう
N2;概論;grandes lignes, remarques générales;がいろん
N4;会話;conversation, dialogue, discussion;かいわ
N5;買う [五段];acheter;かう
N3;飼う [五段];élever un animal;かう
N5;返す [五段];retourner, renvoyer quelque chose;かえす
N2;帰す・還す [五段];"renvoyer quelqu'un vers, faire retourner quelqu'un
vers";かえす
N2;却って;à l'inverse, au contraire;かえって
N4;帰り;retour;かえり
N4;変える [一段];changer, varier;かえる
N4;帰る・返る [五段];revenir, retourner (à notre point de départ);かえる
N3;"代える・替える・換える
[一段]";échanger, remplacer, substituer;かえる
N5;顔;visage;かお
N2;家屋;maison, bâtiment;かおく
N3;香り・薫り;parfum, odeur, fragrance;かおり
N3;画家;peintre, dessinateur;がか
N3;抱える [一段];"tenir dans les bras, avoir (des problèmes, des
dettes…), recruter, embaucher";かかえる
N3;価格;coût, prix, valeur;かかく
N4;科学;science;かがく
N3;化学;chimie;かがく
N4;鏡;miroir;かがみ
N3;輝く [五段];briller, scintiller;かがやく
N3;係り・係;officiel, responsable;かかり
N5;掛かる [五段];"prendre (du temps, de l'argent), être accroché, être
suspendu, être couvert (par une assurance, un contrat…)";かかる
N3;罹る [五段];souffrir de, être atteint de;かかる
N2;係わる [五段];"être lié à, être en rapport avec, être influencé par,
être affecté par";かかわる
N5;鍵;clé;かぎ
N2;書留;inscription, enregistrement (d'une personne), prise de note à l'écrit;かきとめ
N2;書き取り;dictée;かきとり
N2;垣根;haie, clôture;かきね
N2;限り;autant que possible;かぎり
N2;限り;limite;かぎり
N3;限る [五段];limiter, restreindre;かぎる
N5;書く [五段];écrire;かく
N2;各;chaque;かく
N2;掻く [五段];griffer, gratter, érafler, transpirer;かく
N3;学;apprentissage, érudition;がく
N3;額;montant (d'argent);がく
N3;家具;meubles, mobilier;かぐ
N2;嗅ぐ [五段];renifler, flairer;かぐ
N2;架空;aérien, imaginaire;かくう
N3;覚悟;préparation, décision, résolution, résignation;かくご
N2;各自;chacun, chacune;かくじ
N3;確实;certitude, fiabilité;かくじつ
N3;学者;savant, érudit;がくしゃ
N3;学習;études;がくしゅう
N2;拡充;croissance, expansion;かくじゅう
N2;学習する;étudier;がくしゅうする
N2;学術;sciences;がくじゅつ
N3;隠す [五段];cacher, dissimuler;かくす
N5;学生;étudiant;がくせい
N3;拡大;accroissement, expansion;かくだい
N2;拡大する;s'accroître, s'étendre;かくだいする
N2;各地;divers endroits;かくち
N2;拡張;élargissement, augmentation, expansion, extension;かくちょう
N2;角度;angle;かくど
N3;確認;confirmation, vérification;かくにん
N2;確認する;confirmer;かくにんする
N2;学年;année scolaire;がくねん
N4;学部;département universitaire;がくぶ
N2;格別;exceptionnel;かくべつ
N3;学問;étude, apprentissage;がくもん
N2;確率;probabilité;かくりつ
N2;学力;savoir, érudition;がくりょく
N3;隠れる [一段];disparaître, se cacher;かくれる
N3;影・陰;ombre, ombrage;かげ
N2;掛け算;multiplication;かけざん
N2;可決;approbation, adoption (d'une loi, d'un texte….);かけつ
N5;ヶ月・箇月;compteur pour le nombre de mois;かげつ
N5;掛ける [一段];"accrocher, porter (des lunettes...), appeler (au
téléphone), prendre, dépenser (de l'argent, du temps)";かける
N3;欠ける [一段];"être dépourvu, être manquant, être absent, être
déficitaire";かける
N3;加減;"condition, état de santé, degré, mesure, addition et
soustraction";かげん
N3;過去;passé, temps anciens;かこ
N3;籠;panier, cage;かご
N2;火口;cratère volcanique;かこう
N2;下降する;descendre, aller vers le bas;かこうする
N3;囲む [五段];entourer, encercler, clôturer;かこむ
N5;傘;parapluie;かさ
N3;火災;incendie, embrasement;かさい
N2;重なる [五段];être empilé, être entassé, se chevaucher;かさなる
N2;重ねる [一段];accumuler, empiler, répéter une action;かさねる
N2;飾り;décoration, ornement;かざり
N4;飾る [五段];décorer, orner;かざる
N2;火山;volcan;かざん
N2;貸し;crédit (d'argent), prêt;かし
N4;火事;incendie;かじ
N3;家事;travaux ménagers, tâches ménagères;かじ
N3;賢い;intelligent, sage, brillant;かしこい
N4;畏まりました;bien entendu, bien sûr;"かしこまりまし
た"
N2;貸し出し;emprunt, prêt;かしだし
N2;過失;accident, erreur, bourde;かしつ
N2;果实;fruit, noix, baie;かじつ
N2;貸間;chambre à louer;かしま
N2;貸家;maison à louer;かしや
N3;歌手;chanteur, chanteuse;かしゅ
N2;箇所;passage, endroit, point, lieu;かしょ
N2;過剰;excès;かじょう
N2;齧る [五段];"ronger, mordiller, mâcher, grignoter, avoir quelques
notions en";かじる
N5;貸す [五段];prêter;かす
N2;;gaz;ガス
N3;数;chiffre, nombre;かず
N5;風邪;rhume;かぜ
N5;風;vent;かぜ
N2;課税;imposition, taxation;かぜい
N3;稼ぐ [五段];gagner de l'argent, travailler;かせぐ
N2;;cassette;カセット
N2;下線;ce qui est souligné;かせん
N2;下線を引く;souligner, faire un trait sous quelque chose;かせんをひく
N3;数える [一段];compter;かぞえる
N5;家族;famille;かぞく
N2;加速度;accélération;かそくど
N4;-;essence;ガソリン
N4;-;station-essence;"ガソリンスタン
ド"
N5;方;personne (poli);かた
N4;方;manière de, méthode de;かた
N3;肩;épaule;かた
N3;型;forme, modèle, type;かた
N3;固い・堅い・硬い;dur, solide, tendu, raide, formel, têtu, obstiné;かたい
N3;方々;toutes les personnes, tous les gens;かたがた
N5;片仮名;katakana (un des syllabaires japonais);かたかな
N4;形;forme, aspect, apparence;かたち
N2;片付く [五段];"être rangé, être mis en ordre, être résolu, être
terminé";かたづく
N4;片づける [一段];nettoyer, ranger;かたづける
N3;刀;katana (sabre japonais);かたな
N2;塊;paquet, morceau, tas, amoncellement;かたまり
N2;固まる [五段];se solidifier, durcir, devenir ferme;かたまる
N2;片道;aller simple;かたみち
N2;傾く [五段];"s'incliner, pencher, décliner, se coucher (pour le
soleil), vaciller";かたむく
N2;片寄る・偏る [五段];être injuste, être partial, prendre partie pour;かたよる
N3;語る [五段];raconter, dire, narrer;かたる
N3;勝ち;victoire;かち
N3;価値;valeur, mérite;かち
N2;勝ち;capable de, avoir tendance à;がち
N4;勝つ [五段];gagner;かつ
N5;月;mois de l'année;がつ
N2;学科;sujet d'étude;がっか
N2;学会;rencontre universitaire, association scientifique;がっかい
N3;-;être déçu, être découragé, être démoralisé;がっかりする
N3;活気;énergie, vivacité, enjouement;かっき
N3;学期;semestre, trimestre, période scolaire;がっき
N2;楽器;instrument de musique;がっき
N2;画期的;innovateur, innovant, mémorable;かっきてき
N2;学級;niveau d'étude, classe (à l'école);がっきゅう
N2;担ぐ [五段];porter sur ses épaules, tromper, duper;かつぐ
N2;括弧;parenthèses;かっこ
N4;格好;forme, apparence;かっこう
N5;学校;école;がっこう
N2;活字;caractères d'imprimerie;かつじ
N2;勝手に;délibérément, à sa guise;かってに
N3;活動;activité, action;かつどう
N2;活躍;activité, effort;かつやく
N3;活用;conjugaison, mise en pratique, application;かつよう
N2;活力;énergie, vitalité;かつりょく
N5;家庭;famille (sa), maison (sa);かてい
N2;仮定;hypothèse, supposition;かてい
N2;過程;processus;かてい
N2;課程;cursus scolaire, curriculum;かてい
N5;角;coin (d'une rue, d'un trottoir…), rebord, bord;かど
N2;仮名;kana (syllabaires japonais);かな
N5;家内;épouse (la nôtre);かない
N4;悲しい;triste, mélancolique;かなしい
N3;悲しむ [五段];être triste, regretter, s'affliger;かなしむ
N2;仮名遣い;"utilisation des kanas (syllabaires) pour écrire le
japonais";かなづかい
N2;金槌;marteau de fer;かなづち
N4;必ず;certainement, surement, sans aucun doute;かならず
N3;必ずしも;pas forcément, pas toujours;かならずしも
N3;可也;considérable, assez importante;かなり
N5;金;argent, monnaie;かね
N2;鐘;cloche, carillon;かね
N2;加熱;chauffage;かねつ
N4;金持ち;personne riche;かねもち
N2;兼ねる [一段];"être incapable de, trouver difficile de, faire plusieurs
choses à la fois";かねる
N3;可能;possible, réalisable;かのう
N4;彼女;elle, sa (neutre);かのじょ
N2;-;couverture, pochette, couvercle;カバー
N5;鞄;sac, cartable;かばん
N2;過半数;majorité, plus grande partie;かはんすう
N2;黴;moisissure;かび
N5;花瓶;vase;かびん
